educ,age,income,pcigs79,ageeduc,smoker,educincome
12,21,8500,60.59999847,252,0,102000
15,28,12500,60.59999847,420,1,187500
10,67,12500,60.59999847,670,0,125000
12,20,12500,60.59999847,240,0,150000
12,32,20000,60.59999847,384,1,240000
15,46,30000,60.59999847,690,0,450000
12,58,30000,60.59999847,696,0,360000
13.5,27,30000,60.59999847,364.5,1,405000
0,83,6500,60.59999847,0,0,0
12,24,20000,60.59999847,288,1,240000
16,43,20000,60.59999847,688,1,320000
13.5,19,30000,60.59999847,256.5,0,405000
16,46,20000,60.59999847,736,0,320000
12,58,30000,60.59999847,696,1,360000
16,54,20000,60.59999847,864,0,320000
12,48,20000,60.59999847,576,0,240000
2.5,70,3500,60.59999847,175,0,8750
13.5,63,8500,60.59999847,850.5,0,114750
10,32,8500,60.90000153,320,0,85000
16,22,30000,60.79999924,352,0,480000
13.5,53,20000,60.79999924,715.5,0,270000
15,44,30000,60.79999924,660,1,450000
10,63,20000,60.79999924,630,0,200000
10,28,20000,60.79999924,280,1,200000
13.5,26,12500,60.79999924,351,1,168750
12,34,20000,60.79999924,408,1,240000
8,68,8500,60.79999924,544,0,68000
10,48,30000,60.79999924,480,1,300000
8,75,12500,61.5,600,0,100000
12,33,20000,61.5,396,0,240000
13.5,19,30000,61.5,256.5,0,405000
8,71,20000,61.5,568,1,160000
15,55,12500,61.5,825,0,187500
16,40,20000,61.5,640,0,320000
18,38,30000,61.5,684,1,540000
18,55,6500,62.09999847,990,0,117000
10,19,4500,62.09999847,190,1,45000
8,77,20000,62.09999847,616,0,160000
10,68,5500,62.09999847,680,1,55000
16,27,30000,62.09999847,432,0,480000
18,47,30000,62.09999847,846,0,540000
13.5,70,12500,62.09999847,945,0,168750
18,40,30000,62.09999847,720,0,540000
8,47,20000,62.09999847,376,0,160000
18,31,30000,62.09999847,558,0,540000
13.5,40,30000,62.09999847,540,1,405000
13.5,47,30000,62.09999847,634.5,0,405000
13.5,25,4500,62.09999847,337.5,0,60750
12,31,12500,62.09999847,372,0,150000
13.5,29,20000,62.09999847,391.5,1,270000
13.5,28,20000,62.09999847,378,1,270000
12,57,20000,62.09999847,684,0,240000
12,48,20000,62.09999847,576,0,240000
12,45,12500,62.09999847,540,0,150000
12,18,12500,62.09999847,216,1,150000
10,75,8500,62.09999847,750,0,85000
10,53,8500,62.09999847,530,0,85000
12,54,20000,62.09999847,648,1,240000
10,17,12500,62.09999847,170,0,125000
16,70,30000,62.09999847,1120,0,480000
12,29,20000,62.09999847,348,0,240000
10,75,8500,62.09999847,750,0,85000
12,19,20000,62.09999847,228,0,240000
13.5,30,30000,62.09999847,405,0,405000
12,27,30000,62.09999847,324,1,360000
16,31,30000,62.09999847,496,0,480000
6,44,8500,62.09999847,264,0,51000
12,39,20000,62.09999847,468,0,240000
12,27,500,62.09999847,324,1,6000
16,30,6500,62.09999847,480,0,104000
13.5,28,12500,62.09999847,378,0,168750
12,19,12500,62.09999847,228,0,150000
12,43,20000,62.09999847,516,0,240000
13.5,30,20000,62.09999847,405,0,270000
13.5,43,20000,62.09999847,580.5,1,270000
10,82,12500,62.09999847,820,0,125000
12,63,20000,62.09999847,756,0,240000
10,18,30000,62.09999847,180,0,300000
10,50,20000,62.09999847,500,1,200000
12,68,8500,62.09999847,816,0,102000
8,75,8500,62.09999847,600,0,68000
13.5,41,30000,62.09999847,553.5,1,405000
12,25,30000,62.09999847,300,1,360000
16,27,30000,62.09999847,432,1,480000
12,52,30000,62.09999847,624,0,360000
10,48,20000,62.09999847,480,1,200000
16,68,30000,62.09999847,1088,1,480000
8,19,12500,62.09999847,152,1,100000
12,54,30000,62.09999847,648,1,360000
16,51,12500,62.09999847,816,1,200000
12,24,30000,62.09999847,288,0,360000
2.5,43,30000,62.09999847,107.5,0,75000
6,58,4500,62.09999847,348,1,27000
12,39,20000,62.09999847,468,0,240000
6,54,4500,62.09999847,324,1,27000
12,33,12500,62.09999847,396,0,150000
0,44,5500,62.09999847,0,0,0
12,28,30000,62.09999847,336,0,360000
13.5,54,20000,62.09999847,729,1,270000
16,25,20000,62.09999847,400,0,320000
15,27,20000,62.09999847,405,0,300000
10,21,30000,62.09999847,210,1,300000
18,28,20000,62.09999847,504,0,360000
10,41,20000,62.09999847,410,0,200000
16,62,20000,62.09999847,992,0,320000
10,53,30000,62.09999847,530,1,300000
15,26,20000,62.09999847,390,0,300000
16,53,20000,62.09999847,848,0,320000
6,35,12500,62.09999847,210,0,75000
12,68,2500,62.09999847,816,1,30000
18,38,30000,62.09999847,684,0,540000
18,50,30000,62.09999847,900,0,540000
10,32,20000,62.09999847,320,1,200000
12,26,12500,62.09999847,312,1,150000
12,18,30000,62.09999847,216,0,360000
10,18,20000,62.09999847,180,0,200000
16,45,30000,62.09999847,720,0,480000
16,64,12500,62.09999847,1024,0,200000
13.5,31,20000,62.09999847,418.5,1,270000
12,42,30000,62.09999847,504,1,360000
13.5,31,12500,62.09999847,418.5,1,168750
12,65,12500,62.09999847,780,0,150000
15,53,30000,62.09999847,795,0,450000
13.5,25,30000,62.09999847,337.5,1,405000
18,64,30000,62.09999847,1152,0,540000
12,51,20000,62.09999847,612,0,240000
13.5,27,20000,62.09999847,364.5,1,270000
12,25,6500,62.09999847,300,1,78000
13.5,31,20000,62.09999847,418.5,0,270000
18,37,30000,62.09999847,666,0,540000
12,57,12500,62.09999847,684,0,150000
12,41,20000,62.09999847,492,1,240000
12,32,30000,62.09999847,384,1,360000
16,36,30000,62.09999847,576,0,480000
13.5,60,30000,62.09999847,810,0,405000
10,26,6500,62.09999847,260,1,65000
6,35,12500,62.09999847,210,1,75000
2.5,30,12500,62.09999847,75,0,31250
13.5,48,20000,62.09999847,648,1,270000
8,44,20000,62.09999847,352,0,160000
8,71,12500,62.09999847,568,0,100000
6,74,4500,62.09999847,444,0,27000
18,45,30000,62.09999847,810,0,540000
12,26,30000,62.09999847,312,0,360000
10,17,30000,62.09999847,170,0,300000
16,47,30000,62.09999847,752,0,480000
10,26,30000,62.09999847,260,1,300000
13.5,68,12500,62.09999847,918,0,168750
0,57,20000,62.09999847,0,1,0
0,28,5500,62.09999847,0,1,0
13.5,45,30000,62.09999847,607.5,0,405000
12,76,6500,62.09999847,912,1,78000
13.5,24,6500,62.09999847,324,0,87750
13.5,61,1500,62.09999847,823.5,0,20250
18,45,30000,62.09999847,810,0,540000
12,73,12500,62.09999847,876,0,150000
10,64,2500,62.09999847,640,0,25000
2.5,70,6500,62.09999847,175,0,16250
13.5,36,8500,62.09999847,486,1,114750
15,61,12500,62.09999847,915,0,187500
13.5,37,30000,62.09999847,499.5,0,405000
12,63,20000,62.09999847,756,0,240000
10,23,20000,62.09999847,230,0,200000
15,44,20000,62.09999847,660,1,300000
15,27,12500,62.09999847,405,0,187500
15,64,30000,62.09999847,960,0,450000
15,64,20000,62.09999847,960,0,300000
8,53,12500,62.09999847,424,1,100000
16,38,30000,62.09999847,608,0,480000
12,21,30000,62.09999847,252,1,360000
12,21,12500,62.09999847,252,0,150000
12,77,1500,62.09999847,924,1,18000
12,43,30000,62.09999847,516,0,360000
12,69,8500,62.09999847,828,0,102000
18,31,20000,62.09999847,558,0,360000
12,23,12500,62.09999847,276,1,150000
10,66,20000,62.09999847,660,1,200000
13.5,41,30000,62.09999847,553.5,0,405000
10,47,12500,62.09999847,470,1,125000
12,31,8500,62.09999847,372,0,102000
18,27,30000,62.09999847,486,0,540000
16,27,30000,62.09999847,432,0,480000
16,35,30000,62.09999847,560,1,480000
10,55,30000,62.09999847,550,0,300000
13.5,50,30000,62.09999847,675,0,405000
12,21,30000,62.09999847,252,0,360000
10,33,30000,62.09999847,330,1,300000
12,41,30000,62.09999847,492,1,360000
12,52,30000,62.09999847,624,0,360000
15,25,20000,62.09999847,375,0,300000
6,64,8500,62.09999847,384,0,51000
13.5,52,30000,62.09999847,702,0,405000
13.5,23,30000,62.09999847,310.5,0,405000
12,35,30000,62.09999847,420,1,360000
18,77,12500,62.09999847,1386,0,225000
15,44,30000,62.09999847,660,1,450000
16,40,30000,62.09999847,640,0,480000
10,21,30000,62.09999847,210,1,300000
15,27,30000,62.09999847,405,0,450000
13.5,49,30000,62.09999847,661.5,1,405000
10,62,12500,62.09999847,620,1,125000
15,22,8500,62.09999847,330,1,127500
15,22,20000,62.09999847,330,0,300000
16,29,30000,62.09999847,464,0,480000
13.5,29,20000,62.09999847,391.5,1,270000
8,49,20000,62.09999847,392,1,160000
16,26,6500,62.09999847,416,0,104000
13.5,27,4500,62.09999847,364.5,0,60750
18,60,30000,62.09999847,1080,0,540000
10,65,3500,62.09999847,650,0,35000
12,30,20000,62.09999847,360,0,240000
13.5,72,12500,54.59999847,972,0,168750
16,51,30000,54.59999847,816,0,480000
12,28,20000,54.59999847,336,1,240000
16,49,30000,54.59999847,784,1,480000
15,30,8500,54.59999847,450,0,127500
12,57,20000,54.59999847,684,1,240000
13.5,20,1500,54.59999847,270,0,20250
13.5,34,12500,54.59999847,459,1,168750
10,57,20000,54.59999847,570,0,200000
18,46,30000,54.59999847,828,0,540000
13.5,23,20000,54.59999847,310.5,1,270000
10,41,30000,54.59999847,410,0,300000
10,42,20000,54.59999847,420,0,200000
13.5,35,12500,54.59999847,472.5,1,168750
12,45,20000,54.59999847,540,0,240000
13.5,20,4500,54.59999847,270,0,60750
18,34,20000,54.59999847,612,0,360000
12,52,12500,54.59999847,624,1,150000
13.5,64,8500,54.59999847,864,0,114750
12,19,30000,54.59999847,228,0,360000
13.5,27,6500,54.59999847,364.5,1,87750
16,26,30000,54.59999847,416,0,480000
18,49,30000,54.59999847,882,1,540000
16,46,30000,67,736,0,480000
12,18,30000,67,216,0,360000
12,53,30000,67,636,0,360000
12,34,20000,67,408,1,240000
12,71,30000,67,852,0,360000
10,53,20000,67,530,1,200000
12,49,30000,67,588,1,360000
10,28,12500,67,280,0,125000
18,42,30000,67,756,0,540000
16,45,30000,67,720,0,480000
6,43,8500,67,258,0,51000
10,18,5500,67,180,0,55000
16,51,30000,67,816,1,480000
16,23,20000,67,368,0,320000
18,37,30000,67,666,0,540000
18,53,30000,67,954,0,540000
16,58,20000,67,928,1,320000
8,17,30000,67,136,1,240000
12,33,6500,67,396,1,78000
18,33,30000,67,594,0,540000
12,22,12500,62.70000076,264,1,150000
12,39,20000,62.70000076,468,1,240000
8,49,12500,65.59999847,392,1,100000
13.5,23,30000,65.59999847,310.5,1,405000
12,54,8500,65.59999847,648,1,102000
10,62,20000,69.80000305,620,1,200000
13.5,36,30000,69.80000305,486,0,405000
12,57,20000,69.80000305,684,0,240000
2.5,17,8500,69.80000305,42.5,0,21250
16,35,20000,69.80000305,560,1,320000
15,30,20000,69.80000305,450,0,300000
12,42,12500,69.80000305,504,0,150000
10,50,30000,69.80000305,500,0,300000
12,66,6500,69.80000305,792,1,78000
10,67,8500,69.80000305,670,1,85000
